wo_id,asset_id,technician_id,wo_type,priority,status,description,created_at,started_at,completed_at,downtime_hours,failure_code
WO-00088,AST-0020,TECH-0002,Inspection,Medium,Completed,NDT check,2023-09-01 13:00:00,2023-09-01 19:20:06,2023-09-02 15:37:26,8.18,
WO-00089,AST-0013,,Corrective,Low,Open,Engine vibration fix,2023-09-03 19:00:00,,,,
WO-00090,AST-0018,TECH-0011,Preventive,Medium,Completed,Torque check,2023-02-11 11:00:00,2023-02-11 16:03:44,2023-02-12 21:18:47,14.81,
WO-00091,AST-0025,TECH-0018,Emergency,Medium,Completed,Emergency hydraulic failure,2023-11-06 12:00:00,2023-11-06 13:14:37,2023-11-09 01:41:40,31.48,MEC-002
WO-00092,AST-0012,TECH-0005,Corrective,High,Completed,Engine vibration fix,2023-08-21 12:00:00,2023-08-21 15:37:11,2023-08-22 04:06:06,6.64,HYD-002
WO-00093,AST-0022,TECH-0004,Preventive,Critical,Completed,Torque check,2023-07-10 18:00:00,2023-07-10 19:28:33,2023-07-10 23:08:44,1.65,
WO-00094,AST-0022,TECH-0016,Corrective,Medium,Completed,Electrical fault trace,2023-01-27 10:00:00,2023-01-27 15:00:11,2023-01-29 12:36:38,7.76,HYD-002
WO-00095,AST-0014,TECH-0018,Corrective,Medium,In Progress,Hydraulic leak repair,2023-05-23 15:00:00,2023-05-23 17:11:46,,,STR-002
WO-00096,AST-0028,TECH-0005,Emergency,Low,Completed,Fire warning system fault,2023-04-03 10:00:00,2023-04-03 15:46:12,2023-04-06 20:11:17,0.37,HYD-002
WO-00097,AST-0013,,Preventive,Medium,Open,Torque check,2023-09-29 09:00:00,,,,
WO-00098,AST-0025,TECH-0020,Corrective,High,Completed,Hydraulic leak repair,2023-06-16 18:00:00,2023-06-17 01:33:38,2023-06-17 22:15:38,2.58,
WO-00099,AST-0004,TECH-0010,Preventive,Medium,Completed,Torque check,2023-11-07 13:00:00,2023-11-07 16:36:22,2023-11-09 10:40:23,11.62,
WO-00100,AST-0010,TECH-0007,Corrective,High,In Progress,Electrical fault trace,2023-11-03 06:00:00,2023-11-03 06:33:27,,,
WO-00101,AST-0005,,Preventive,High,Open,Torque check,2023-08-09 08:00:00,,,,
WO-00102,AST-0015,TECH-0003,Corrective,High,Completed,Landing gear snag,2023-12-09 18:00:00,2023-12-09 21:09:22,2023-12-10 15:18:46,6.34,STR-002
WO-00103,AST-0015,TECH-0012,Corrective,Medium,Completed,Hydraulic leak repair,2023-05-29 07:00:00,2023-05-29 10:32:15,2023-06-02 05:06:00,68.65,MEC-002
WO-00104,AST-0006,TECH-0003,Inspection,High,Completed,Pre-flight walkaround,2023-09-26 07:00:00,2023-09-26 10:28:05,2023-09-26 21:22:46,2.91,
WO-00105,AST-0009,TECH-0007,Corrective,High,Completed,Electrical fault trace,2023-06-29 17:00:00,2023-06-30 00:41:12,2023-06-30 08:08:42,0.61,STR-002
WO-00106,AST-0015,,Preventive,Low,Open,Torque check,2023-11-18 13:00:00,,,,
WO-00107,AST-0015,TECH-0010,Corrective,Low,Completed,Landing gear snag,2023-11-16 11:00:00,2023-11-16 17:58:54,2023-11-18 22:36:08,2.87,STR-002
WO-00108,AST-0028,TECH-0003,Preventive,Medium,Completed,Torque check,2023-08-20 06:00:00,2023-08-20 06:55:36,2023-08-23 15:12:49,55.51,
WO-00109,AST-0017,TECH-0005,Corrective,Medium,Completed,Hydraulic leak repair,2023-01-22 13:00:00,2023-01-22 20:19:04,2023-01-23 20:52:58,11.89,AVN-001
WO-00110,AST-0017,TECH-0017,Preventive,Low,Completed,Lubrication service,2023-02-13 14:00:00,2023-02-13 19:20:45,2023-02-18 22:06:22,97.32,
WO-00111,AST-0004,TECH-0018,Corrective,Low,Completed,Engine vibration fix,2023-06-23 16:00:00,2023-06-23 20:59:02,2023-07-07 16:06:18,17.46,ELE-003
WO-00112,AST-0003,TECH-0019,Preventive,Low,Cancelled,Lubrication service,2023-11-05 19:00:00,2023-11-05 20:37:40,,,
WO-00113,AST-0021,TECH-0011,Emergency,High,Completed,Emergency hydraulic failure,2023-12-06 12:00:00,2023-12-06 13:28:01,2023-12-06 19:47:31,2.83,
WO-00114,AST-0014,TECH-0017,Inspection,Low,Cancelled,NDT check,2023-09-27 07:00:00,2023-09-27 12:20:42,,,
WO-00115,AST-0008,TECH-0005,Preventive,High,Cancelled,Lubrication service,2023-06-24 18:00:00,2023-06-24 22:08:49,,,
WO-00116,AST-0017,TECH-0002,Preventive,Low,In Progress,Filter replacement,2023-10-04 19:00:00,2023-10-05 01:02:23,,,
WO-00117,AST-0024,TECH-0015,Inspection,Medium,Completed,Pre-flight walkaround,2023-03-20 08:00:00,2023-03-20 09:51:22,2023-03-22 09:59:32,34.76,
WO-00118,AST-0024,TECH-0015,Corrective,Medium,In Progress,Electrical fault trace,2023-08-16 15:00:00,2023-08-16 17:38:13,,,STR-001
WO-00119,AST-0025,TECH-0013,Preventive,Low,Completed,Torque check,2023-04-10 11:00:00,2023-04-10 16:35:14,2023-04-14 09:42:09,54.85,
WO-00120,AST-0004,TECH-0017,Emergency,Low,Completed,AOG engine fault,2023-03-12 19:00:00,2023-03-12 21:22:30,2023-03-18 21:06:49,63.77,ELE-003
WO-00121,AST-0029,TECH-0012,Preventive,High,Completed,Scheduled 500-hr inspection,2023-09-20 08:00:00,2023-09-20 14:43:58,2023-09-21 11:55:18,13.84,
WO-00122,AST-0021,TECH-0011,Corrective,Medium,Completed,Electrical fault trace,2023-07-17 07:00:00,2023-07-17 10:18:42,2023-07-20 02:58:35,43.41,ELE-001
WO-00123,AST-0009,TECH-0007,Preventive,Low,Completed,Lubrication service,2023-03-13 18:00:00,2023-03-13 23:47:29,2023-03-15 10:03:11,2.17,
WO-00124,AST-0026,TECH-0020,Corrective,Medium,Completed,Engine vibration fix,2023-02-26 18:00:00,2023-02-26 20:39:38,2023-02-27 13:38:21,5.7,HYD-002
WO-00125,AST-0020,TECH-0012,Preventive,Low,Completed,Lubrication service,2023-01-09 16:00:00,2023-01-09 20:21:55,2023-01-12 00:03:21,17.75,
WO-00126,AST-0018,TECH-0001,Corrective,High,Completed,Engine vibration fix,2023-09-26 11:00:00,2023-09-26 12:00:27,2023-09-27 01:56:22,11.02,AVN-001
WO-00127,AST-0025,TECH-0019,Preventive,Medium,Completed,Filter replacement,2023-01-09 11:00:00,2023-01-09 17:24:50,2023-01-11 23:23:33,27.13,
WO-00128,AST-0006,TECH-0005,Preventive,Medium,Completed,Scheduled 500-hr inspection,2023-11-26 08:00:00,2023-11-26 14:43:40,2023-11-29 10:05:31,25.79,
WO-00129,AST-0026,,Inspection,Low,Open,Borescope inspection,2023-04-14 06:00:00,,,,
WO-00130,AST-0012,TECH-0002,Inspection,High,Completed,NDT check,2023-07-23 19:00:00,2023-07-23 23:34:21,2023-07-24 17:55:55,2.81,
WO-00131,AST-0023,TECH-0016,Preventive,Low,Completed,Filter replacement,2023-07-24 17:00:00,2023-07-24 20:47:52,2023-08-04 10:14:06,37.88,
WO-00132,AST-0004,TECH-0003,Emergency,Medium,Completed,Critical avionics failure,2023-08-06 07:00:00,2023-08-06 10:43:46,2023-08-10 06:13:07,21.5,
WO-00133,AST-0020,TECH-0014,Preventive,Medium,Completed,Filter replacement,2023-03-27 17:00:00,2023-03-27 20:49:45,2023-03-30 02:28:38,39.12,
WO-00134,AST-0013,,Corrective,Low,Open,Landing gear snag,2023-12-10 16:00:00,,,,STR-001
WO-00135,AST-0026,TECH-0015,Inspection,Medium,Cancelled,Pre-flight walkaround,2023-03-15 19:00:00,2023-03-16 00:03:24,,,
WO-00136,AST-0012,TECH-0012,Preventive,High,Completed,Torque check,2023-07-05 12:00:00,2023-07-05 19:37:15,2023-07-06 03:10:58,2.72,
WO-00137,AST-0016,TECH-0017,Inspection,Medium,Completed,Annual compliance check,2023-07-23 11:00:00,2023-07-23 16:22:18,2023-07-24 12:53:52,12.08,
WO-00138,AST-0007,TECH-0004,Emergency,High,Completed,Emergency hydraulic failure,2023-12-27 13:00:00,2023-12-27 15:06:33,2023-12-28 08:24:03,13.81,HYD-002
WO-00139,AST-0003,TECH-0018,Corrective,Low,Completed,Landing gear snag,2023-02-14 18:00:00,2023-02-14 23:36:52,2023-02-25 08:09:02,69.08,ELE-003
WO-00140,AST-0005,TECH-0008,Inspection,Medium,Completed,Annual compliance check,2023-11-23 08:00:00,2023-11-23 14:27:09,2023-11-24 11:24:22,3.37,
WO-00141,AST-0024,TECH-0016,Preventive,Medium,Completed,Torque check,2023-10-10 08:00:00,2023-10-10 13:05:22,2023-10-11 20:11:28,24.87,
WO-00142,AST-0003,,Inspection,Low,Open,Annual compliance check,2023-06-12 16:00:00,,,,
WO-00143,AST-0025,TECH-0005,Corrective,Medium,In Progress,Engine vibration fix,2023-10-10 16:00:00,2023-10-10 20:54:30,,,STR-001
WO-00144,AST-0011,TECH-0008,Emergency,Critical,In Progress,Critical avionics failure,2023-03-20 10:00:00,2023-03-20 11:44:05,,,STR-001
WO-00145,AST-0021,TECH-0006,Inspection,Low,Completed,Borescope inspection,2023-11-22 14:00:00,2023-11-22 16:33:30,2023-11-27 07:34:34,8.3,
WO-00146,AST-0021,TECH-0019,Preventive,Medium,Completed,Filter replacement,2023-06-22 19:00:00,2023-06-23 02:25:46,2023-06-25 15:28:25,3.97,
WO-00147,AST-0016,TECH-0008,Corrective,Low,Completed,Engine vibration fix,2023-11-24 06:00:00,2023-11-24 10:14:07,2023-11-27 08:20:02,53.65,ELE-003
WO-00148,AST-0011,TECH-0020,Corrective,Medium,In Progress,Electrical fault trace,2023-08-01 13:00:00,2023-08-01 16:58:59,,,MEC-001
WO-00149,AST-0012,TECH-0017,Inspection,High,Cancelled,Pre-flight walkaround,2023-06-26 12:00:00,2023-06-26 13:28:50,,,
WO-00150,AST-0008,TECH-0006,Preventive,Medium,Completed,Filter replacement,2023-05-07 08:00:00,2023-05-07 09:13:33,2023-05-08 20:22:12,17.3,
WO-00151,AST-0015,TECH-0016,Emergency,Medium,In Progress,Critical avionics failure,2023-03-23 13:00:00,2023-03-23 20:58:11,,,AVN-001
WO-00152,AST-0027,TECH-0016,Preventive,Low,Completed,Filter replacement,2023-05-04 09:00:00,2023-05-04 13:52:30,2023-05-07 10:55:33,33.01,
WO-00153,AST-0018,TECH-0007,Corrective,Low,Completed,Landing gear snag,2023-05-16 17:00:00,2023-05-16 20:14:35,2023-05-18 11:32:37,1.61,STR-001
WO-00154,AST-0004,TECH-0013,Preventive,Medium,Completed,Filter replacement,2023-10-09 10:00:00,2023-10-09 16:41:23,2023-10-11 16:05:10,4.88,
WO-00155,AST-0023,TECH-0011,Inspection,High,Completed,Annual compliance check,2023-03-15 09:00:00,2023-03-15 14:01:06,2023-03-15 19:32:35,0.17,
WO-00156,AST-0027,TECH-0010,Corrective,High,Completed,Landing gear snag,2023-03-13 11:00:00,2023-03-13 18:29:06,2023-03-14 06:21:30,5.86,STR-001
WO-00157,AST-0019,TECH-0010,Inspection,Medium,Completed,Pre-flight walkaround,2023-06-03 13:00:00,2023-06-03 19:37:05,2023-06-05 22:24:13,39.81,
WO-00158,AST-0024,TECH-0020,Corrective,High,Completed,Engine vibration fix,2023-10-24 15:00:00,2023-10-24 17:12:23,2023-10-25 06:39:16,5.64,ELE-001
WO-00159,AST-0007,TECH-0014,Inspection,High,Completed,Annual compliance check,2023-12-25 07:00:00,2023-12-25 08:55:51,2023-12-25 21:16:08,4.08,
WO-00160,AST-0007,,Inspection,Medium,Open,NDT check,2023-03-12 14:00:00,,,,
WO-00161,AST-0024,TECH-0009,Emergency,Medium,Completed,Fire warning system fault,2023-03-30 13:00:00,2023-03-30 20:20:27,2023-04-01 05:52:20,20.71,ELE-002
WO-00162,AST-0012,TECH-0018,Emergency,High,Completed,Critical avionics failure,2023-06-02 18:00:00,2023-06-02 20:40:03,2023-06-03 14:09:26,4.44,ELE-003
WO-00163,AST-0023,TECH-0003,Preventive,Medium,Completed,Filter replacement,2023-07-22 19:00:00,2023-07-22 22:05:18,2023-07-26 13:54:28,2.96,
WO-00164,AST-0004,TECH-0020,Emergency,Medium,Completed,Emergency hydraulic failure,2023-04-20 09:00:00,2023-04-20 15:42:34,2023-04-22 12:27:30,9.72,ELE-002
WO-00165,AST-0011,TECH-0016,Preventive,Low,In Progress,Scheduled 500-hr inspection,2023-04-30 06:00:00,2023-04-30 07:15:05,,,
WO-00166,AST-0029,TECH-0016,Corrective,High,Cancelled,Engine vibration fix,2023-03-22 12:00:00,2023-03-22 17:23:48,,,
WO-00167,AST-0024,TECH-0002,Preventive,Low,Completed,Lubrication service,2023-11-27 06:00:00,2023-11-27 13:18:34,2023-12-01 23:15:01,45.36,
WO-00168,AST-0030,TECH-0010,Corrective,Low,Completed,Hydraulic leak repair,2023-01-19 19:00:00,2023-01-19 22:28:38,2023-01-26 06:05:24,116.7,HYD-001
WO-00169,AST-0005,TECH-0017,Preventive,Medium,Completed,Torque check,2023-06-21 10:00:00,2023-06-21 13:54:27,2023-06-23 08:37:14,30.39,
WO-00170,AST-0019,TECH-0007,Preventive,Low,Completed,Lubrication service,2023-08-23 16:00:00,2023-08-23 18:25:46,2023-08-29 00:50:36,79.97,
WO-00171,AST-0016,TECH-0011,Corrective,Medium,Completed,Electrical fault trace,2023-08-07 14:00:00,2023-08-07 16:57:34,2023-08-08 12:30:36,15.35,HYD-001
WO-00172,AST-0008,TECH-0002,Preventive,High,Completed,Scheduled 500-hr inspection,2023-06-18 10:00:00,2023-06-18 14:52:06,2023-06-19 00:22:35,2.73,
WO-00173,AST-0020,TECH-0008,Corrective,High,Completed,Electrical fault trace,2023-12-27 18:00:00,2023-12-27 20:49:56,2023-12-28 18:07:21,5.03,ELE-001
WO-00174,AST-0030,TECH-0016,Corrective,Medium,Cancelled,Electrical fault trace,2023-07-11 12:00:00,2023-07-11 17:45:52,,,
WO-00175,AST-0002,TECH-0018,Preventive,Low,Completed,Lubrication service,2023-02-11 14:00:00,2023-02-11 17:51:02,2023-02-13 13:17:29,19.61,
